FIM DE PARTIDA
Substituição Entra Léo Demétrio
Substituição Sai Mineiro
Substituição Entra Alexei
Substituição Sai Leandrinho
ASSISTÊNCIA Assistência do Balbi
É DE TRÊS  É de três  Jhonatan acerta arremesso de três pontos
REBOTE DEFENSIVO Jhonatan pega rebote defensivo
Tentativa para três pontos Davi erra tentativa para três pontos
REBOTE DEFENSIVO Tyrone
Tentativa para três pontos Balbi erra tentativa para três pontos
 2 PONTOS Leandrinho acerta arremesso de dois pontos
ASSISTÊNCIA Assistência do Jhonatan
 2 PONTOS Mineiro acerta arremesso de dois pontos
 2 PONTOS Leandrinho acerta arremesso de dois pontos
 2 PONTOS Deryk acerta arremesso de dois pontos
 2 PONTOS Leandrinho acerta arremesso de dois pontos
REBOTE OFENSIVO Leandrinho pega rebote ofensivo
Tentativa para três pontos Deodato erra tentativa para três pontos
Substituição Entra Deryk
Substituição Sai Zach Graham
Substituição Entra Tyrone 
Substituição Sai Scott
""
ASSISTÊNCIA Assistência do Zach Graham
É DE TRÊS  É de três  Jhonatan acerta arremesso de três pontos
 2 PONTOS Scott acerta arremesso de dois pontos
ASSISTÊNCIA Assistência do Balbi
É DE TRÊS  É de três  Mineiro acerta arremesso de três pontos
 2 PONTOS Alex acerta arremesso de dois pontos
ASSISTÊNCIA Assistência do Marquinhos
 2 PONTOS Mineiro acerta arremesso de dois pontos
Substituição Entra Deodato
Substituição Sai Tyrone 
Falta sofrida Balbi sofre falta
Erro Scott perde posse de bola
FALTA OFENSIVA Scott comete falta ofensiva
Falta sofrida Tyrone
FALTA Balbi comete falta
Substituição Entra Jhonatan
Substituição Sai Olivinha
Erro Olivinha perde posse de bola
REBOTE DEFENSIVO Zach Graham pega rebote defensivo
Tentativa para três pontos Alex erra tentativa para três pontos
ASSISTÊNCIA Assistência do Balbi
É DE TRÊS  É de três  Olivinha acerta arremesso de três pontos
 2 PONTOS Davi acerta arremesso de dois pontos
Falta sofrida Leandrinho sofre falta
Erro Zach Graham perde posse de bola
FALTA OFENSIVA Zach Graham comete falta ofensiva
Violação Tyrone
REBOTE DEFENSIVO Davi pega rebote defensivo
Tentativa para três pontos Marquinhos erra tentativa para três pontos
Erro Scott perde posse de bola
ASSISTÊNCIA Assistência do Marquinhos
 2 PONTOS Olivinha acerta arremesso de dois pontos
REBOTE DEFENSIVO Zach Graham pega rebote defensivo
Tentativa para três pontos Leandrinho erra tentativa para três pontos
Erro Zach Graham perde posse de bola
ASSISTÊNCIA Assistência do Leandrinho
É DE TRÊS  É de três  Alex acerta arremesso de três pontos
 2 PONTOS Zach Graham acerta arremesso de dois pontos
Falta sofrida Zach Graham sofre falta
FALTA Tyrone
 2 PONTOS Tyrone
REBOTE OFENSIVO Tyrone
Tentativa para dois pontos Tyrone
REBOTE DEFENSIVO Scott pega rebote defensivo
Tentativa para dois pontos Olivinha erra tentativa para dois pontos
Bola recuperada Mineiro recupera a bola
Erro Alex perde posse de bola
INÍCIO DE QUARTO Início do
FIM DE QUARTO
 2 PONTOS Balbi acerta arremesso de dois pontos
Substituição Entra Deryk
Substituição Sai Léo Demétrio
""
 2 PONTOS Leandrinho acerta arremesso de dois pontos
REBOTE DEFENSIVO Tyrone
Tentativa para dois pontos Léo Demétrio erra tentativa para dois pontos
Falta sofrida Balbi sofre falta
FALTA Queirós comete falta
 2 PONTOS Leandrinho acerta arremesso de dois pontos
ASSISTÊNCIA Assistência do Balbi
 2 PONTOS Léo Demétrio acerta arremesso de dois pontos
Substituição Entra Léo Demétrio
Substituição Sai Mineiro
""
Tentativa para três pontos Queirós erra tentativa para três pontos
ASSISTÊNCIA Assistência do Mineiro
 2 PONTOS Zach Graham acerta arremesso de dois pontos
Substituição Entra Queirós
Substituição Sai Scott
Substituição Entra Leandrinho
Substituição Sai Alexei
 1 PONTO Scott acerta o lance livre
Lance Livre Errado Scott erra o lance livre
Falta sofrida Scott sofre falta
FALTA Balbi comete falta
É DE TRÊS  É de três  Marquinhos acerta arremesso de três pontos
""
ASSISTÊNCIA Assistência do Davi
É DE TRÊS  É de três  Alex acerta arremesso de três pontos
REBOTE DEFENSIVO Scott pega rebote defensivo
Tentativa para três pontos Marquinhos erra tentativa para três pontos
ASSISTÊNCIA Assistência do Tyrone 
 2 PONTOS Scott acerta arremesso de dois pontos
REBOTE DEFENSIVO Scott pega rebote defensivo
Lance Livre Errado Balbi erra o lance livre
Lance Livre Errado Balbi erra o lance livre
Substituição Entra Zach Graham
Substituição Sai Jhonatan
Substituição Entra Mineiro
Substituição Sai Black
""
Falta sofrida Balbi sofre falta
FALTA Alexei comete falta
REBOTE DEFENSIVO Marquinhos pega rebote defensivo
Tentativa para três pontos Tyrone
REBOTE DEFENSIVO Alex pega rebote defensivo
Tentativa para dois pontos Jhonatan erra tentativa para dois pontos
REBOTE OFENSIVO Jhonatan pega rebote ofensivo
Tentativa para três pontos Black erra tentativa para três pontos
 2 PONTOS Davi acerta arremesso de dois pontos
É DE TRÊS  É de três  Marquinhos acerta arremesso de três pontos
É DE TRÊS  É de três  Alex acerta arremesso de três pontos
Substituição Entra Olivinha
Substituição Sai Léo Demétrio
Substituição Entra Scott
Substituição Sai Queirós
Falta sofrida Tyrone
FALTA Jhonatan comete falta
 2 PONTOS Marquinhos acerta arremesso de dois pontos
REBOTE DEFENSIVO Black pega rebote defensivo
Tentativa para dois pontos Alex erra tentativa para dois pontos
Bola recuperada Alex recupera a bola
Erro Black perde posse de bola
REBOTE DEFENSIVO Léo Demétrio pega rebote defensivo
Tentativa para três pontos Alex erra tentativa para três pontos
Substituição Entra Marquinhos
Substituição Sai Deryk
Falta sofrida Alex sofre falta
FALTA Jhonatan comete falta
REBOTE DEFENSIVO Alex pega rebote defensivo
Tentativa para três pontos Léo Demétrio erra tentativa para três pontos
ASSISTÊNCIA Assistência do Alex
É DE TRÊS  É de três  Davi acerta arremesso de três pontos
ASSISTÊNCIA Assistência do Balbi
 2 PONTOS Léo Demétrio acerta arremesso de dois pontos
Substituição Entra Alex
Substituição Sai Deodato
Falta sofrida Jhonatan sofre falta
FALTA Deodato comete falta
""
Tentativa para três pontos Alexei erra tentativa para três pontos
ASSISTÊNCIA Assistência do Balbi
 2 PONTOS Léo Demétrio acerta arremesso de dois pontos
Erro Deodato perde posse de bola
Substituição Entra Black
Substituição Sai Olivinha
Falta sofrida Davi sofre falta
FALTA Deryk comete falta
REBOTE DEFENSIVO Tyrone
Lance Livre Errado Olivinha erra o lance livre
Lance Livre Errado Olivinha erra o lance livre
Substituição Entra Balbi
Substituição Sai Zach Graham
Substituição Entra Alexei
Substituição Sai Leandrinho
Substituição Entra Davi
Substituição Sai Cobb
Falta sofrida Olivinha sofre falta
FALTA Deodato comete falta
REBOTE DEFENSIVO Olivinha pega rebote defensivo
Tentativa para três pontos Deodato erra tentativa para três pontos
REBOTE OFENSIVO Deodato pega rebote ofensivo
Tentativa para dois pontos Leandrinho erra tentativa para dois pontos
 2 PONTOS Zach Graham acerta arremesso de dois pontos
REBOTE DEFENSIVO Olivinha pega rebote defensivo
Tentativa para dois pontos Leandrinho erra tentativa para dois pontos
REBOTE DEFENSIVO Deodato pega rebote defensivo
Tentativa para três pontos Léo Demétrio erra tentativa para três pontos
INÍCIO DE QUARTO Início do
FIM DE QUARTO
Tentativa para três pontos Leandrinho erra tentativa para três pontos
Substituição Entra Pedro Nunes
Substituição Sai Deryk
Substituição Entra Alexei
Substituição Sai Alex
Substituição Entra Tyrone 
Substituição Sai Queirós
Falta sofrida Leandrinho sofre falta
Erro Deryk perde posse de bola
FALTA OFENSIVA Deryk comete falta ofensiva
REBOTE DEFENSIVO Léo Demétrio pega rebote defensivo
Tentativa para dois pontos Alex erra tentativa para dois pontos
 2 PONTOS Zach Graham acerta arremesso de dois pontos
Substituição Entra Marquinhos
Substituição Sai Olivinha
Erro Alex perde posse de bola
REBOTE DEFENSIVO Alex pega rebote defensivo
Tentativa para três pontos Jhonatan erra tentativa para três pontos
Bola recuperada Olivinha recupera a bola
Erro Deodato perde posse de bola
Substituição Entra Cobb
Substituição Sai Davi
Substituição Entra Deryk
Substituição Sai Balbi
 1 PONTO Balbi acerta o lance livre
 1 PONTO Balbi acerta o lance livre
Substituição Entra Jhonatan
Substituição Sai Marquinhos
Substituição Entra Queirós
Substituição Sai Scott
Falta sofrida Balbi sofre falta
FALTA Scott comete falta
ASSISTÊNCIA Assistência do Deodato
 2 PONTOS Scott acerta arremesso de dois pontos
ASSISTÊNCIA Assistência do Marquinhos
 2 PONTOS Léo Demétrio acerta arremesso de dois pontos
REBOTE OFENSIVO Marquinhos pega rebote ofensivo
Tentativa para três pontos Marquinhos erra tentativa para três pontos
ASSISTÊNCIA Assistência do Davi
É DE TRÊS  É de três  Deodato acerta arremesso de três pontos
REBOTE OFENSIVO Scott pega rebote ofensivo
Tentativa para dois pontos Leandrinho erra tentativa para dois pontos
ASSISTÊNCIA Assistência do Olivinha
 2 PONTOS Léo Demétrio acerta arremesso de dois pontos
REBOTE DEFENSIVO Marquinhos pega rebote defensivo
Tentativa para três pontos Alex erra tentativa para três pontos
 2 PONTOS Balbi acerta arremesso de dois pontos
Bola recuperada Balbi recupera a bola
Erro Scott perde posse de bola
""
 2 PONTOS Léo Demétrio acerta arremesso de dois pontos
REBOTE OFENSIVO Léo Demétrio pega rebote ofensivo
Tentativa para dois pontos Marquinhos erra tentativa para dois pontos
REBOTE DEFENSIVO Balbi pega rebote defensivo
Tentativa para dois pontos Davi erra tentativa para dois pontos
REBOTE OFENSIVO Davi pega rebote ofensivo
Tentativa para dois pontos Scott erra tentativa para dois pontos
REBOTE DEFENSIVO Alex pega rebote defensivo
Lance Livre Errado Olivinha erra o lance livre
 1 PONTO Olivinha acerta o lance livre
Falta sofrida Olivinha sofre falta
FALTA Alex comete falta
""
Tentativa para dois pontos Balbi erra tentativa para dois pontos
ASSISTÊNCIA Assistência do Scott
É DE TRÊS  É de três  Davi acerta arremesso de três pontos
ASSISTÊNCIA Assistência do Balbi
É DE TRÊS  É de três  Marquinhos acerta arremesso de três pontos
Substituição Entra Deodato
Substituição Sai Tyrone 
Falta sofrida Olivinha sofre falta
FALTA Leandrinho comete falta
REBOTE DEFENSIVO Balbi pega rebote defensivo
Tentativa para três pontos Leandrinho erra tentativa para três pontos
 2 PONTOS Zach Graham acerta arremesso de dois pontos
ASSISTÊNCIA Assistência do Leandrinho
É DE TRÊS  É de três  Alex acerta arremesso de três pontos
Substituição Entra Léo Demétrio
Substituição Sai Mineiro
 2 PONTOS Olivinha acerta arremesso de dois pontos
REBOTE DEFENSIVO Olivinha pega rebote defensivo
Tentativa para dois pontos Davi erra tentativa para dois pontos
Violação Marquinhos comete violação de saída de quadra
REBOTE DEFENSIVO Marquinhos pega rebote defensivo
Tentativa para dois pontos Tyrone
REBOTE OFENSIVO Scott pega rebote ofensivo
Tentativa para três pontos Tyrone
ASSISTÊNCIA Assistência do Balbi
 2 PONTOS Mineiro acerta arremesso de dois pontos
ASSISTÊNCIA Assistência do Leandrinho
É DE TRÊS  É de três  Davi acerta arremesso de três pontos
 1 PONTO Balbi acerta o lance livre
 1 PONTO Balbi acerta o lance livre
Falta sofrida Balbi sofre falta
FALTA Davi comete falta
 2 PONTOS Alex acerta arremesso de dois pontos
Bola recuperada Alex recupera a bola
Erro Marquinhos perde posse de bola
Falta sofrida Marquinhos sofre falta
FALTA Scott comete falta
""
Tentativa para dois pontos Leandrinho erra tentativa para dois pontos
 1 PONTO Olivinha acerta o lance livre
Falta sofrida Olivinha sofre falta
FALTA Tyrone
 2 PONTOS Olivinha acerta arremesso de dois pontos
ASSISTÊNCIA Assistência do Leandrinho
 2 PONTOS Davi acerta arremesso de dois pontos
Bola recuperada Tyrone
Erro Olivinha perde posse de bola
 1 PONTO Scott acerta o lance livre
ASSISTÊNCIA Assistência do Leandrinho
 1 PONTO Scott acerta o lance livre
Falta sofrida Scott sofre falta
FALTA Mineiro comete falta
É DE TRÊS  É de três  Zach Graham acerta arremesso de três pontos
REBOTE DEFENSIVO Mineiro pega rebote defensivo
Lance Livre Errado Alex erra o lance livre
Lance Livre Errado Alex erra o lance livre
Falta sofrida Alex sofre falta
FALTA Mineiro comete falta
 2 PONTOS Olivinha acerta arremesso de dois pontos
""
Tentativa para três pontos Davi erra tentativa para três pontos
Bola recuperada Davi recupera a bola
Erro Olivinha perde posse de bola
REBOTE OFENSIVO Olivinha pega rebote ofensivo
Tentativa para três pontos Marquinhos erra tentativa para três pontos
Substituição Entra Zach Graham
Substituição Entra Olivinha
Substituição Entra Mineiro
Substituição Entra Marquinhos
Substituição Entra Balbi
Substituição Entra Scott
Substituição Entra Leandrinho
Substituição Entra Alex
Substituição Entra Davi
Substituição Entra Tyrone 
INÍCIO DE QUARTO Início de partida
