Quarto,Tempo,Time,Indicador_01,placar_casa,placar_visitante
4,07:07,UFC,João Vitor sofre falta ,59,47
4,07:07,APB,Rodrigues comete falta ,59,47
4,07:21,UFC,João Vitor pega rebote defensivo ,59,47
4,07:21,APB,Funches III erra o lance livre ,59,47
4,07:21,APB,Funches III acerta o lance livre ,59,47
4,07:21,APB,Funches III sofre falta ,59,46
4,07:21,UFC,João Vitor comete falta ,59,46
4,07:28,APB,Augusto recupera a bola ,59,46
4,07:28,UFC,Pepo Vidal perde posse de bola ,59,46
4,07:38,UFC,João Vitor pega rebote defensivo ,59,46
4,07:38,APB,Funches III erra o lance livre ,59,46
4,07:38,APB,Funches III acerta o lance livre ,59,46
4,07:38,APB,Funches III sofre falta ,59,45
4,07:38,UFC,Antonio comete falta ,59,45
4,07:46,APB,Técnico da equipe Pato Basquete pede tempo ,59,45
4,07:52,UFC,Assistência do Antonio,59,45
4,07:52,UFC,É de três  Gemadinha acerta arremesso de três pontos ,59,45
4,07:56,UFC,João Vitor pega rebote defensivo ,56,45
4,08:00,APB,Gegê erra tentativa para três pontos ,56,45
4,08:03,APB,Entra Gustavo,56,45
4,08:03,APB,Sai Paulo,56,45
4,08:12,UFC,Antonio perde posse de bola ,56,45
4,08:20,UFC,Antonio recupera a bola ,56,45
4,08:20,APB,Paulo perde posse de bola ,56,45
4,08:34,UFC,Assistência do Antonio,56,45
4,08:34,UFC,Spencer acerta arremesso de dois pontos ,56,45
4,08:43,UFC,Spencer sofre falta ,54,45
4,08:43,APB,Paulo comete falta ,54,45
4,09:01,APB,Entra Augusto,54,45
4,09:01,APB,Sai Murilo,54,45
4,09:01,APB,Rodrigues sofre falta ,54,45
4,09:01,UFC,João Vitor perde posse de bola ,54,45
4,09:01,UFC,João Vitor comete falta ofensiva ,54,45
4,09:14,UFC,Pepo Vidal pega rebote defensivo ,54,45
4,09:21,UFC,João Vitor dá um toco ,54,45
4,09:21,APB,Rodrigues erra tentativa para dois pontos ,54,45
4,09:42,APB,Funches III pega rebote defensivo ,54,45
4,09:46,UFC,Spencer erra tentativa para dois pontos ,54,45
4,10:00,NaN,Início do  quarto quarto ,54,45
3,00:00,NaN,Fim  do terceiro quarto ,54,45
3,00:01,APB,Paulo pega rebote defensivo ,54,45
3,00:05,UFC,Gemadinha erra tentativa para três pontos ,54,45
3,00:18,UFC,Entra Barnes,54,45
3,00:18,UFC,Sai Gabriel,54,45
3,00:18,UFC,Entra Antonio,54,45
3,00:18,UFC,Sai Pezão,54,45
3,00:18,APB,Funches III acerta o lance livre ,54,45
3,00:18,APB,Funches III sofre falta ,54,44
3,00:18,UFC,Gabriel comete falta ,54,44
3,00:18,APB,Funches III acerta arremesso de dois pontos ,54,44
3,00:18,APB,Pato Basquete pega rebote ofensivo ,54,42
3,00:20,APB,Paulo erra tentativa para três pontos ,54,42
3,00:32,APB,Pato Basquete pega rebote ofensivo ,54,42
3,00:34,APB,Murilo erra tentativa para dois pontos ,54,42
3,00:50,UFC,Assistência do Pepo Vidal,54,42
3,00:50,UFC,É de três  Gemadinha acerta arremesso de três pontos ,54,42
3,00:56,UFC,Entra Pezão,51,42
3,00:56,UFC,Sai D  Nunes,51,42
3,00:56,UFC,João Vitor sofre falta ,51,42
3,00:56,APB,Funches III comete falta ,51,42
3,00:56,UFC,UNIFACISA pega rebote ofensivo ,51,42
3,00:59,UFC,D  Nunes erra tentativa para dois pontos ,51,42
3,01:14,UFC,D  Nunes pega rebote defensivo ,51,42
3,01:14,APB,Paulo erra o lance livre ,51,42
3,01:14,UFC,Entra Pepo Vidal,51,42
3,01:14,UFC,Sai Barnes,51,42
3,01:14,APB,Paulo sofre falta ,51,42
3,01:14,UFC,D  Nunes comete falta ,51,42
3,01:14,APB,Paulo acerta arremesso de dois pontos ,51,42
3,01:17,APB,Rodrigues pega rebote defensivo ,51,40
3,01:20,UFC,Barnes erra tentativa para dois pontos ,51,40
3,01:28,UFC,D  Nunes pega rebote defensivo ,51,40
3,01:32,APB,Funches III erra tentativa para três pontos ,51,40
3,01:40,APB,Funches III pega rebote defensivo ,51,40
3,01:43,UFC,João Vitor erra tentativa para dois pontos ,51,40
3,01:53,APB,Entra Gegê,51,40
3,01:53,APB,Sai Gustavo,51,40
3,01:53,UFC,Barnes sofre falta ,51,40
3,01:53,APB,Murilo comete falta ,51,40
3,01:56,UFC,João Vitor pega rebote defensivo ,51,40
3,02:01,APB,Paulo erra tentativa para dois pontos ,51,40
3,02:18,UFC,Assistência do Gemadinha,51,40
3,02:18,UFC,É de três  Gabriel acerta arremesso de três pontos ,51,40
3,02:24,UFC,Gemadinha recupera a bola ,48,40
3,02:24,APB,Rodrigues perde posse de bola ,48,40
3,02:26,APB,Funches III pega rebote defensivo ,48,40
3,02:30,UFC,Gabriel erra tentativa para dois pontos ,48,40
3,02:35,UFC,UNIFACISA pega rebote ofensivo ,48,40
3,02:38,UFC,João Vitor erra tentativa para dois pontos ,48,40
3,02:40,UFC,João Vitor pega rebote ofensivo ,48,40
3,02:44,UFC,Barnes erra tentativa para três pontos ,48,40
3,02:58,UFC,João Vitor pega rebote defensivo ,48,40
3,02:58,APB,Rodrigues erra o lance livre ,48,40
3,02:58,APB,Assistência do Murilo,48,40
3,02:58,APB,Rodrigues acerta o lance livre ,48,40
3,02:58,APB,Rodrigues sofre falta ,48,39
3,02:58,UFC,Gabriel comete falta ,48,39
3,03:22,UFC,Assistência do Barnes,48,39
3,03:22,UFC,João Vitor acerta arremesso de dois pontos ,48,39
3,03:33,APB,Entra Paulo,46,39
3,03:33,APB,Sai Augusto,46,39
3,03:33,UFC,Entra Gemadinha,46,39
3,03:33,UFC,Sai Pepo Vidal,46,39
3,03:33,UFC,João Vitor sofre falta ,46,39
3,03:33,APB,Augusto comete falta ,46,39
3,03:33,UFC,UNIFACISA pega rebote ofensivo ,46,39
3,03:37,UFC,D  Nunes erra tentativa para três pontos ,46,39
3,03:44,UFC,Barnes recupera a bola ,46,39
3,03:44,APB,Gustavo perde posse de bola ,46,39
3,04:01,APB,Entra Augusto,46,39
3,04:01,APB,Sai Paulo,46,39
3,04:01,APB,Entra Murilo,46,39
3,04:01,APB,Sai Gegê,46,39
3,04:01,UFC,Barnes perde posse de bola ,46,39
3,04:05,UFC,D  Nunes pega rebote ofensivo ,46,39
3,04:08,UFC,D  Nunes erra tentativa para dois pontos ,46,39
3,04:10,UFC,D  Nunes pega rebote defensivo ,46,39
3,04:15,UFC,D  Nunes dá um toco ,46,39
3,04:15,APB,Funches III erra tentativa para dois pontos ,46,39
3,04:35,APB,Rodrigues pega rebote defensivo ,46,39
3,04:38,APB,Rodrigues dá um toco ,46,39
3,04:38,UFC,João Vitor erra tentativa para dois pontos ,46,39
3,04:39,UFC,João Vitor pega rebote ofensivo ,46,39
3,04:43,UFC,D  Nunes erra tentativa para dois pontos ,46,39
3,04:52,UFC,Entra João Vitor,46,39
