Data,Hora,Casa,Visitante,Fase,Local
02/02/2020,11:00,Mogi,UNIFACISA,15ª SEMANA,Prof. Hugo Ramos
03/02/2020,18:00,Flamengo,Basq. Cearense,15ª SEMANA,Ginásio do Maracanazinho
03/02/2020,20:00,Pato Basquete,São Paulo,15ª SEMANA,Ginásio do Sesi
04/02/2020,20:00,Sesi Franca,Pinheiros,15ª SEMANA,Ginásio Pedrocão
04/02/2020,20:00,São José,UNIFACISA,15ª SEMANA,Gin. Linneu de Moura
04/02/2020,20:00,Bauru,Corinthians,15ª SEMANA,Gin. Panela de Pressão
05/02/2020,20:00,Pato Basquete,Flamengo,15ª SEMANA,Ginásio do Sesi
05/02/2020,20:15,Brasília,Mogi,15ª SEMANA,ASCEB
06/02/2020,20:00,Bauru,Pinheiros,15ª SEMANA,Gin. Panela de Pressão
07/02/2020,19:00,Botafogo,Brasília,15ª SEMANA,Ginásio Oscar Zelaya
07/02/2020,21:00,Basq. Cearense,Sesi Franca,15ª SEMANA,Centro de Formação Olímpica
07/02/2020,21:10,Minas,São Paulo,15ª SEMANA,Arena Minas Tênis Clube
08/02/2020,12:50,Mogi,Flamengo,15ª SEMANA,Prof. Hugo Ramos
10/02/2020,19:30,UNIFACISA,Sesi Franca,16ª SEMANA,Arena UNIFACISA
10/02/2020,20:00,Paulistano,Flamengo,16ª SEMANA,Gin. Antonio Prado Jr
11/02/2020,20:00,Minas,Mogi,16ª SEMANA,Arena Minas Tênis Clube
11/02/2020,20:00,Corinthians,Rio Claro,16ª SEMANA,Ginásio Wlamir Marques
12/02/2020,19:30,Pinheiros,São José,16ª SEMANA,Poliesportivo H. Villaboim
12/02/2020,19:30,UNIFACISA,Bauru,16ª SEMANA,Arena UNIFACISA
12/02/2020,20:00,Pato Basquete,Botafogo,16ª SEMANA,Ginásio do Sesi
13/02/2020,20:00,Minas,Paulistano,16ª SEMANA,Arena Minas Tênis Clube
13/02/2020,20:15,Brasília,São Paulo,16ª SEMANA,ASCEB
14/02/2020,20:00,Basq. Cearense,Bauru,16ª SEMANA,Centro de Formação Olímpica
14/02/2020,21:10,Rio Claro,Botafogo,16ª SEMANA,Gin. Felipe Karam
15/02/2020,12:50,Pinheiros,Corinthians,16ª SEMANA,Poliesportivo H. Villaboim
15/02/2020,17:00,Brasília,Paulistano,16ª SEMANA,ASCEB
26/02/2020,20:00,Pato Basquete,Basq. Cearense,17ª SEMANA,Ginásio do Sesi
27/02/2020,20:00,Minas,São José,17ª SEMANA,Arena Minas Tênis Clube
28/02/2020,19:30,Pato Basquete,UNIFACISA,17ª SEMANA,Ginásio do Sesi
28/02/2020,20:00,Rio Claro,Basq. Cearense,17ª SEMANA,Gin. Felipe Karam
28/02/2020,21:10,Paulistano,Bauru,17ª SEMANA,Gin. Antonio Prado Jr
29/02/2020,12:50,São Paulo,Corinthians,17ª SEMANA,Ginásio Pol. Dr. Antônio L. Nunes Galvão - (Morumbi)
29/02/2020,15:00,Botafogo,Pinheiros,17ª SEMANA,Arena de Deodoro
02/03/2020,20:00,Rio Claro,UNIFACISA,18ª SEMANA,Gin. Felipe Karam
02/03/2020,20:00,São José,Botafogo,18ª SEMANA,Gin. Linneu de Moura
03/03/2020,20:00,Flamengo,Pinheiros,18ª SEMANA,Maracanãzinho
03/03/2020,20:00,Sesi Franca,Brasília,18ª SEMANA,Ginásio Pedrocão
03/03/2020,20:00,Mogi,Paulistano,18ª SEMANA,Prof. Hugo Ramos
04/03/2020,20:00,Rio Claro,Pato Basquete,18ª SEMANA,Gin. Felipe Karam
05/03/2020,19:00,Bauru,Brasília,18ª SEMANA,Gin. Panela de Pressão
05/03/2020,19:00,São José,Flamengo,18ª SEMANA,Gin. Linneu de Moura
05/03/2020,20:10,Sesi Franca,Minas,18ª SEMANA,Ginásio Pedrocão
