temporada;time;adversario;fase;cf;posicao;Jogador;frequencia ;Min;Pts C;Pts T;Arc;Art;3P C;3P T;2P C;2P T;LL C;LL T;O;D;RT;AS;BR;TO;FC;FR;ER;EN
15;4;7;1;1;5;Lao Waszkiewicz;1;21,52;2;11;1;5;0;0;1;5;0;1;2;1;3;0;0;0;3;2;1;1
15;4;7;1;1;4;Toledo;1;19,49;7;26;2;10;1;4;1;6;2;2;2;1;3;0;0;0;0;3;2;1
15;4;7;1;1;2;Rashaun;1;14,11;4;15;2;6;0;3;2;3;0;0;0;3;3;0;2;0;1;0;1;1
15;4;7;1;1;4;Romulo;1;11,53;4;6;2;3;0;0;2;3;0;0;3;2;5;0;0;0;3;0;1;0
15;4;7;1;1;5;Tiagao;1;10,56;7;13;3;5;1;3;2;2;0;0;0;2;2;2;1;0;0;0;1;0
15;4;7;1;1;3;Sualisson;1;7,3;2;5;1;2;0;1;1;1;0;0;1;0;1;0;0;0;0;1;0;0
15;4;7;1;1;1;Victor 3;1;7,18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
15;4;7;1;1;6;Luis Enrique;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;4;7;1;1;0;1;1;;67;174;24;68;8;25;16;43;11;13;16;25;41;6;12;0;17;17;14;4
15;7;4;1;2;2;Robinson;1;31,07;10;13;4;5;2;3;2;2;0;0;0;5;5;1;1;0;0;0;1;0
15;7;4;1;2;3;Marquinhos;1;30,46;25;44;9;17;3;5;6;12;4;5;2;1;3;1;1;0;3;5;4;0
15;7;4;1;2;1;Rafa Luz;1;30,09;15;21;5;7;2;3;3;4;3;4;1;4;5;4;1;0;1;3;3;0
15;7;4;1;2;4;Rafael Mineiro;1;26,58;4;17;2;7;0;3;2;4;0;0;0;2;2;4;0;1;0;1;1;0
15;7;4;1;2;5;Meyinsse;1;26,47;2;12;1;6;0;0;1;6;0;0;0;2;2;1;3;3;4;3;0;1
15;7;4;1;2;1;Gege;1;18,35;2;5;1;2;0;1;1;1;0;0;1;2;3;4;0;0;3;0;1;0
15;7;4;1;2;5;JP Batista;1;17,55;8;8;3;3;0;0;3;3;2;2;2;3;5;3;0;0;3;2;2;0
15;7;4;1;2;3;Marcelinho;1;17,02;19;41;6;14;5;11;1;3;2;2;0;2;2;1;1;0;2;1;1;0
15;7;4;1;2;1;Danielzinho;1;0,36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
15;7;4;1;2;6;Jorge;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;7;4;1;2;4;Mingau;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;7;4;1;2;0;1;1;;85;161;31;61;12;26;19;35;11;13;7;23;30;19;12;4;17;16;13;1
15;4;15;1;1;4;Toledo;1;38,31;19;32;6;10;0;2;6;8;7;10;6;5;11;0;4;0;3;6;5;1
15;4;15;1;1;3;Audrei;1;35,21;10;21;4;8;0;3;4;5;2;2;0;1;1;1;1;0;3;2;0;0
15;4;15;1;1;2;Duda Machado;1;29,47;5;25;2;9;1;7;1;2;0;0;1;2;3;4;2;0;3;2;5;0
15;4;15;1;1;2;Rashaun;1;28,34;20;37;7;13;3;6;4;7;3;5;0;4;4;2;0;0;2;3;0;0
15;4;15;1;1;4;Felipe 3;1;22,34;13;21;5;8;1;3;4;5;2;2;0;2;2;2;0;0;2;2;1;1
15;4;15;1;1;1;Davi;1;18,58;7;14;2;4;1;2;1;2;2;4;0;7;7;6;1;0;3;3;2;0
15;4;15;1;1;5;Tiagao;1;15,56;14;18;5;7;2;2;3;5;2;2;2;2;4;0;2;0;4;1;1;0
15;4;15;1;1;3;Sualisson;1;3,11;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;1;0
15;4;15;1;1;1;Victor 3;1;2,54;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0
15;4;15;1;1;5;Lao Waszkiewicz;1;2,35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
15;4;15;1;1;6;Luis Enrique;1;1,13;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
15;4;15;1;1;4;Romulo;1;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
15;4;15;1;1;0;1;1;;88;170;31;60;8;25;23;35;18;25;10;28;38;16;11;1;24;19;18;2
15;15;4;1;2;1;Caleb Brown;1;31,14;19;27;6;10;0;0;6;10;7;7;1;1;2;2;3;0;2;6;2;0
15;15;4;1;2;4;Mosso;1;30,22;10;26;3;9;2;6;1;3;2;2;1;7;8;1;0;0;4;3;3;0
15;15;4;1;2;3;Marcio 5;1;29,37;9;27;3;11;1;3;2;8;2;2;0;3;3;0;2;0;1;4;3;0
15;15;4;1;2;5;Matheus Fontes;1;27,59;8;18;2;6;1;2;1;4;3;4;2;4;6;2;3;0;4;3;3;0
15;15;4;1;2;1;Pedrinho;1;26;2;9;1;4;0;1;1;3;0;0;0;0;0;2;1;0;1;1;2;0
15;15;4;1;2;2;Eddy;1;22,37;6;19;2;7;0;3;2;4;2;2;0;0;0;0;3;0;3;1;1;0
15;15;4;1;2;3;Murilo 2;1;13,07;7;12;1;3;0;0;1;3;5;6;0;1;1;0;0;0;1;3;0;0
15;15;4;1;2;5;Romario 1;1;8,52;3;4;1;1;0;0;1;1;1;2;0;0;0;0;0;0;2;2;1;0
15;15;4;1;2;4;Pablo;1;7,24;0;3;0;1;0;1;0;0;0;0;0;2;2;0;0;0;2;0;0;0
15;15;4;1;2;5;Maique;1;2,44;0;4;0;2;0;0;0;2;0;0;1;0;1;0;0;0;0;0;0;0
15;15;4;1;2;0;1;1;;64;149;19;54;4;16;15;38;22;25;6;19;25;7;14;0;20;23;15;0
15;4;20;1;1;4;Toledo;1;33,12;19;33;6;10;3;6;3;4;4;7;2;5;7;1;3;0;0;5;3;0
15;4;20;1;1;2;Duda Machado;1;31,12;9;36;2;11;2;10;0;1;3;4;1;5;6;4;1;0;0;5;1;0
15;4;20;1;1;3;Audrei;1;30;9;16;4;7;1;2;3;5;0;0;2;2;4;0;1;0;4;1;0;0
15;4;20;1;1;1;Davi;1;28,52;15;28;6;11;2;5;4;6;1;1;0;2;2;4;0;0;5;1;0;0
15;4;20;1;1;2;Rashaun;1;21,02;4;18;2;7;0;3;2;4;0;1;1;0;1;1;0;0;4;2;1;1
15;4;20;1;1;5;Tiagao;1;15,41;2;18;0;6;0;4;0;2;2;2;1;4;5;0;0;0;2;1;1;0
15;4;20;1;1;4;Felipe 3;1;14,59;1;13;0;4;0;3;0;1;1;2;1;2;3;0;2;1;3;3;2;0
15;4;20;1;1;5;Lao Waszkiewicz;1;11,56;3;8;1;2;0;0;1;2;1;4;1;1;2;0;2;0;3;3;1;1
15;4;20;1;1;3;Sualisson;1;9,07;4;6;2;3;0;0;2;3;0;0;2;2;4;0;0;0;1;1;0;0
15;4;20;1;1;4;Romulo;1;2,46;2;2;1;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0
15;4;20;1;1;1;Victor 3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;4;20;1;1;6;Luis Enrique;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;4;20;1;1;0;1;1;;68;178;24;62;8;33;16;29;12;21;13;25;38;10;10;1;23;22;9;2
15;20;4;1;2;3;Lucas Dias;1;30,29;8;17;3;7;0;1;3;6;2;2;2;8;10;1;0;0;1;4;1;1
15;20;4;1;2;3;Scaglia;1;25,1;0;6;0;2;0;2;0;0;0;0;0;1;1;3;0;0;2;0;2;0
15;20;4;1;2;2;Humberto;1;23,08;13;24;4;9;1;2;3;7;4;4;1;3;4;2;1;0;0;4;0;0
15;20;4;1;2;4;Andrezao;1;22,08;5;18;2;7;0;2;2;5;1;2;0;3;3;0;1;0;3;1;1;1
15;20;4;1;2;5;Mineiro;1;20,34;12;25;5;11;0;1;5;10;2;2;2;6;8;0;1;0;2;2;1;0
15;20;4;1;2;5;Renan 1;1;18,28;7;16;3;7;0;1;3;6;1;1;2;3;5;1;0;0;5;2;1;0
15;20;4;1;2;3;Holloway;1;17,45;7;19;2;7;0;2;2;5;3;3;2;1;3;0;0;0;5;5;1;0
15;20;4;1;2;1;De Paula;1;14,27;10;17;2;5;2;3;0;2;4;4;0;3;3;1;1;0;1;2;1;0
15;20;4;1;2;5;Morro;1;11,07;0;4;0;2;0;0;0;2;0;0;1;0;1;1;0;0;1;0;1;0
15;20;4;1;2;5;Arthur 1;1;9,3;1;5;0;2;0;0;0;2;1;1;0;0;0;1;0;0;2;2;0;0
15;20;4;1;2;2;Bennett;1;7,03;0;4;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;0
