temporada;time;adversario;fase;cf;posicao;Jogador;frequencia ;Min;Pts C;Pts T;Arc;Art;3P C;3P T;2P C;2P T;LL C;LL T;O;D;RT;AS;BR;TO;FC;FR;ER;EN
14;5;16;1;2;3;Arthur 3;1;34,15;5;24;1;8;0;4;1;4;3;4;1;6;7;1;1;0;2;3;1;0
14;5;16;1;2;4;G, Giovannoni;1;32,56;29;40;12;16;3;6;9;10;2;2;1;5;6;0;2;0;5;5;3;0
14;5;16;1;2;2;LaMonte;1;30,08;22;27;6;8;2;2;4;6;8;9;1;4;5;1;2;0;2;7;7;0
14;5;16;1;2;1;Fulvio;1;27,12;14;30;3;8;3;8;0;0;5;6;0;4;4;11;1;0;3;4;3;0
14;5;16;1;2;5;Cipolini;1;25,35;5;10;2;4;1;2;1;2;0;0;1;3;4;2;0;1;4;1;4;0
14;5;16;1;2;1;Fred;1;12,48;0;6;0;2;0;2;0;0;0;0;0;1;1;0;0;0;3;1;0;0
14;5;16;1;2;3;Isaac;1;12,41;2;5;0;1;0;1;0;0;2;2;0;1;1;1;0;0;1;2;1;0
14;5;16;1;2;5;Ronald;1;12,19;8;9;2;2;0;0;2;2;4;5;2;1;3;0;0;0;4;3;1;0
14;5;16;1;2;5;Goodridge;1;10,45;2;4;1;2;0;0;1;2;0;0;0;3;3;0;1;2;5;2;0;1
14;5;16;1;2;5;Abner;1;0,41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;5;16;1;2;4;Maxwell;1;0,34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;5;16;1;2;2;Bruno Felipe;1;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;5;16;1;2;0;1;1;;87;155;27;51;9;25;18;26;24;28;7;29;36;16;7;3;29;28;20;1
14;16;12;1;1;2;Robby Collum;1;36,54;14;25;4;8;2;5;2;3;4;4;0;2;2;4;1;1;2;2;1;0
14;16;12;1;1;3;Alex 1;1;31,31;22;34;6;10;2;6;4;4;8;8;1;0;1;5;0;0;3;4;3;1
14;16;12;1;1;5;Shilton;1;28,22;6;12;3;6;0;0;3;6;0;0;5;7;12;3;0;0;5;2;4;0
14;16;12;1;1;3;Bruno Irigoyen;1;24,43;13;21;5;8;3;5;2;3;0;0;0;1;1;1;1;0;2;1;0;0
14;16;12;1;1;1;Coelho;1;21,57;5;14;1;5;1;2;0;3;2;2;2;1;3;3;0;0;2;4;2;0
14;16;12;1;1;1;Cafferata;1;18,08;4;10;1;3;1;2;0;1;1;2;1;4;5;1;0;0;3;2;2;0
14;16;12;1;1;4;Lao Dematrio;1;17,5;7;12;2;4;0;0;2;4;3;4;1;1;2;2;0;0;1;3;1;0
14;16;12;1;1;5;Ansaloni;1;15,34;18;30;8;14;0;0;8;14;2;2;1;4;5;0;2;0;3;2;2;1
14;16;12;1;1;2;Siqueira;1;4,24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
14;16;12;1;1;6;Moisas;1;0,18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
14;16;12;1;1;2;Pitico;1;0,15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
14;16;12;1;1;5;Adyb;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;16;12;1;1;0;1;1;;89;158;30;58;9;20;21;38;20;22;12;23;35;19;5;1;23;20;18;2
14;12;16;1;2;3;Gaúcho;1;39,3;23;38;10;16;2;4;8;12;1;2;1;3;4;2;1;0;4;5;7;0
14;12;16;1;2;3;Thiaguinho;1;36,15;20;29;6;10;3;4;3;6;5;5;0;1;1;0;2;0;1;4;4;0
14;12;16;1;2;6;Matheus;1;34,3;3;20;1;7;1;6;0;1;0;0;0;0;0;5;4;0;2;0;1;0
14;12;16;1;2;4;Guilherme 1;1;27,13;10;24;5;11;0;2;5;9;0;0;2;3;5;2;2;0;5;0;0;2
14;12;16;1;2;1;Clahar;1;26,08;12;29;2;9;0;2;2;7;8;9;1;6;7;2;2;0;2;7;6;0
14;12;16;1;2;5;Marcao;1;22,53;10;17;2;5;0;0;2;5;6;7;2;2;4;0;0;2;5;6;0;0
14;12;16;1;2;5;Mafra;1;7,37;2;4;1;2;0;0;1;2;0;0;0;0;0;0;0;0;2;0;1;0
14;12;16;1;2;3;Edu Mariano;1;2,32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;12;16;1;2;5;Lupa;1;1,5;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
14;12;16;1;2;2;Nocedal;1;1,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;12;16;1;2;5;Elivelton;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;12;16;1;2;6;Fernando;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;12;16;1;2;0;1;1;;80;161;27;60;6;18;21;42;20;23;11;15;26;11;12;2;21;22;19;2
14;16;19;1;1;1;Coelho;1;34,05;14;36;3;11;1;4;2;7;7;10;2;3;5;4;3;0;2;7;2;0
14;16;19;1;1;3;Alex 1;1;32,3;27;55;9;19;6;14;3;5;3;3;0;3;3;1;0;0;3;4;4;1
14;16;19;1;1;2;Robby Collum;1;25,42;7;18;1;5;1;4;0;1;4;4;0;1;1;4;1;0;4;4;2;0
14;16;19;1;1;5;Shilton;1;24,58;3;8;1;2;0;0;1;2;1;4;2;7;9;1;0;0;4;5;3;0
14;16;19;1;1;4;Lao Dematrio;1;20,34;8;21;3;8;0;2;3;6;2;3;1;4;5;2;0;1;5;3;0;1
14;16;19;1;1;2;Siqueira;1;20,07;5;8;2;3;1;2;1;1;0;0;0;1;1;1;1;0;2;2;4;0
14;16;19;1;1;5;Ansaloni;1;17,57;5;12;1;3;0;0;1;3;3;6;0;6;6;0;0;0;1;3;1;0
14;16;19;1;1;1;Cafferata;1;10,11;0;9;0;3;0;3;0;0;0;0;1;1;2;2;0;0;3;0;2;0
14;16;19;1;1;3;Bruno Irigoyen;1;8,11;0;6;0;2;0;2;0;0;0;0;0;0;0;0;1;0;3;0;2;0
14;16;19;1;1;5;Adyb;1;3,14;3;5;1;2;1;1;0;1;0;0;0;0;0;0;0;0;3;0;0;0
14;16;19;1;1;6;Moisas;1;2,14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
14;16;19;1;1;2;Pitico;1;0,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;16;19;1;1;0;1;1;;72;178;21;58;10;32;11;26;20;30;12;28;40;15;10;1;30;28;20;2
14;19;16;1;2;3;Holloway;1;29,27;11;21;2;6;0;1;2;5;7;8;0;3;3;1;2;3;2;4;7;0
14;19;16;1;2;1;Dawkins;1;28,1;3;22;1;9;0;2;1;7;1;2;1;4;5;5;2;0;2;4;6;0
14;19;16;1;2;4;Gemerson;1;24,02;4;12;1;4;0;2;1;2;2;2;3;3;6;1;0;0;5;4;0;0
14;19;16;1;2;4;Pilar;1;22,57;11;22;3;7;1;2;2;5;4;6;0;4;4;1;1;0;5;7;3;0
14;19;16;1;2;4;Renato C,;1;22,16;19;28;7;10;1;4;6;6;4;4;1;1;2;1;3;0;3;3;2;0
14;19;16;1;2;4;Casar;1;22,01;1;15;0;5;0;3;0;2;1;2;0;7;7;1;0;0;4;2;0;0
14;19;16;1;2;5;Labbate;1;20,45;13;17;6;6;0;0;6;6;1;5;5;3;8;0;0;0;4;3;0;4
14;19;16;1;2;1;Arthur Pecos;1;10,57;0;9;0;4;0;1;0;3;0;0;0;0;0;0;0;0;0;1;0;0
14;19;16;1;2;3;Pedro 1;1;10,38;7;11;2;4;1;1;1;3;2;2;0;2;2;0;0;0;2;1;0;0
14;19;16;1;2;5;Arthur 1;1;4,54;0;2;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;1;0;0
14;19;16;1;2;1;F, Penna;1;3,45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
14;19;16;1;2;0;1;1;;69;159;22;55;3;16;19;39;22;33;12;28;40;10;14;3;28;30;18;4
14;16;18;1;1;3;Alex 1;1;36,25;12;33;4;12;4;9;0;3;0;0;1;2;3;4;1;0;2;3;5;0
14;16;18;1;1;5;Shilton;1;33,15;12;20;6;9;0;0;6;9;0;2;0;6;6;1;0;1;2;3;1;0
14;16;18;1;1;1;Coelho;1;27,45;8;13;3;5;0;1;3;4;2;2;0;4;4;7;2;0;3;3;1;0
14;16;18;1;1;5;Ansaloni;1;21,36;8;16;4;8;0;0;4;8;0;0;1;6;7;0;0;0;3;1;0;0
14;16;18;1;1;2;Siqueira;1;20,45;10;21;4;8;1;4;3;4;1;1;0;1;1;0;1;0;4;1;2;1
14;16;18;1;1;4;Lao Dematrio;1;20,15;9;19;2;5;0;3;2;2;5;6;1;1;2;1;1;0;2;3;2;0
14;16;18;1;1;3;Bruno Irigoyen;1;17,06;4;7;1;2;0;1;1;1;2;2;0;0;0;0;0;0;4;1;2;0
14;16;18;1;1;1;Cafferata;1;16,1;5;16;1;5;0;2;1;3;3;4;0;2;2;3;1;0;1;5;1;0
14;16;18;1;1;6;Christian;1;4,2;0;2;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
14;16;18;1;1;5;Adyb;1;2,18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;16;18;1;1;6;Moisas;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;16;18;1;1;2;Pitico;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;16;18;1;1;0;1;1;;68;147;25;55;5;20;20;35;13;17;6;22;28;17;7;1;21;20;14;1
14;18;16;1;2;2;Neto;1;29,45;15;30;6;12;1;4;5;8;2;2;0;1;1;2;2;0;3;3;1;0
14;18;16;1;2;1;Maxi Stanic;1;29,43;6;16;1;5;1;3;0;2;3;3;0;3;3;9;0;0;0;5;3;0
14;18;16;1;2;4;Douglas Nunes;1;25,39;4;9;2;4;0;1;2;3;0;0;1;3;4;2;1;1;2;1;2;0
14;18;16;1;2;5;Toyloy;1;24,07;12;24;5;9;0;0;5;9;2;6;1;3;4;0;0;2;3;6;3;2
14;18;16;1;2;3;Jhonatan;1;21,12;1;10;0;3;0;2;0;1;1;2;1;3;4;1;2;0;1;1;0;0
14;18;16;1;2;3;Diego 1;1;20,45;18;24;6;8;3;4;3;4;3;4;1;3;4;1;0;0;1;2;2;0
14;18;16;1;2;2;Gianella;1;17,46;2;7;1;3;0;1;1;2;0;0;0;4;4;2;2;0;3;0;3;0
14;18;16;1;2;5;atila Dos Santos;1;15,22;2;4;0;1;0;0;0;1;2;2;0;1;1;1;1;0;4;1;3;0
14;18;16;1;2;3;Fabricio;1;13,45;10;15;4;6;2;3;2;3;0;0;1;1;2;0;0;0;3;0;0;0
14;18;16;1;2;1;Locke;1;1,46;3;3;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0
14;18;16;1;2;2;Marone;1;0,06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;18;16;1;2;0;1;1;;73;142;26;52;7;18;19;34;14;20;8;25;33;18;14;3;20;20;17;2
14;16;20;1;1;1;Coelho;1;27,3;17;40;6;15;2;7;4;8;3;3;1;0;1;0;0;0;2;4;2;0
14;16;20;1;1;3;Alex 1;1;25,44;3;8;1;3;1;2;0;1;0;0;1;3;4;2;1;0;2;0;0;0
14;16;20;1;1;5;Shilton;1;23,59;10;19;3;6;0;0;3;6;4;7;1;2;3;1;2;0;3;6;3;1
14;16;20;1;1;5;Ansaloni;1;22,22;17;25;5;9;0;0;5;9;7;7;1;1;2;2;1;1;2;5;0;1
14;16;20;1;1;2;Siqueira;1;22,01;15;17;6;7;1;1;5;6;2;2;0;1;1;2;0;1;1;3;2;1
14;16;20;1;1;3;Bruno Irigoyen;1;21,31;10;21;4;9;2;3;2;6;0;0;0;1;1;3;1;0;3;1;0;0
14;16;20;1;1;1;Cafferata;1;13,41;3;11;1;4;1;3;0;1;0;0;0;2;2;2;0;0;2;0;2;0
14;16;20;1;1;4;Lao Dematrio;1;12,52;5;21;1;8;1;3;0;5;2;2;1;4;5;2;0;1;1;2;1;0
14;16;20;1;1;6;Moisas;1;10;4;4;2;2;0;0;2;2;0;0;1;2;3;0;1;1;2;0;0;0
14;16;20;1;1;6;Christian;1;10;2;5;1;2;0;1;1;1;0;0;0;1;1;0;2;0;0;0;0;0
14;16;20;1;1;5;Adyb;1;5,11;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
14;16;20;1;1;2;Pitico;1;5,05;1;2;0;0;0;0;0;0;1;2;0;1;1;1;0;0;1;1;0;0
14;16;20;1;1;0;1;1;;87;175;30;66;8;20;22;46;19;23;7;19;26;15;9;4;20;22;10;3
14;20;16;1;2;4;Toledo;1;31,05;14;24;4;8;1;2;3;6;5;6;2;4;6;2;1;0;4;4;0;2
14;20;16;1;2;1;Jason Smith;1;30,24;21;32;7;11;7;10;0;1;0;0;0;3;3;2;0;0;3;2;2;0
14;20;16;1;2;2;Joe Smith;1;26,59;20;28;6;9;6;8;0;1;2;2;0;1;1;7;0;0;1;2;2;0
14;20;16;1;2;4;Felipe 3;1;26,22;12;16;5;6;1;2;4;4;1;2;1;9;10;2;1;0;2;3;2;0
14;20;16;1;2;2;Jefferson;1;23,17;20;23;5;6;4;5;1;1;6;6;1;3;4;3;1;0;1;4;1;0
14;20;16;1;2;3;Ted Simões;1;23,17;15;26;5;10;3;4;2;6;2;2;0;1;1;0;0;0;2;1;0;0
14;20;16;1;2;5;Andra Bambu;1;16,14;6;8;3;3;0;0;3;3;0;2;2;2;4;1;0;0;3;3;2;0
14;20;16;1;2;5;Kurtz;1;14,21;2;8;1;4;0;0;1;4;0;0;0;4;4;0;0;0;5;1;3;1
14;20;16;1;2;5;Morro;1;7,58;0;4;0;2;0;0;0;2;0;0;0;2;2;1;0;0;2;0;0;0
14;20;16;1;2;2;Humberto;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;20;16;1;2;0;1;1;;110;169;36;59;22;31;14;28;16;20;6;30;36;18;4;0;23;20;12;3
14;16;15;2;1;1;Coelho;1;32,27;16;35;6;12;1;4;5;8;3;7;2;2;4;7;2;0;3;6;4;1
14;16;15;2;1;5;Shilton;1;28,16;11;17;4;6;0;0;4;6;3;5;1;5;6;1;0;0;3;5;1;0
14;16;15;2;1;2;Siqueira;1;25,45;20;29;6;10;1;1;5;9;7;8;1;1;2;3;3;0;4;6;2;0
14;16;15;2;1;3;Alex 1;1;24,24;3;11;1;4;1;3;0;1;0;0;0;0;0;3;1;0;1;0;0;0
14;16;15;2;1;5;Ansaloni;1;24,12;16;21;6;8;0;0;6;8;4;5;0;9;9;2;0;1;2;3;1;2
14;16;15;2;1;4;Lao Dematrio;1;20,17;8;17;3;6;1;3;2;3;1;2;2;3;5;0;0;0;4;1;1;0
14;16;15;2;1;3;Bruno Irigoyen;1;18,08;8;13;3;5;0;0;3;5;2;3;1;2;3;0;0;1;3;2;1;0
14;16;15;2;1;2;Pitico;1;9,4;5;9;1;1;1;1;0;0;2;6;0;0;0;5;1;0;5;4;0;0
14;16;15;2;1;1;Cafferata;1;9,37;3;11;1;4;1;3;0;1;0;0;1;0;1;3;0;0;3;1;0;0
14;16;15;2;1;6;Christian;1;5,22;0;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
14;16;15;2;1;5;Adyb;1;1,45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;16;15;2;1;6;Moisas;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;16;15;2;1;0;1;1;;90;166;31;57;6;16;25;41;22;36;10;24;34;24;10;2;29;28;10;3
14;15;16;2;2;5;George 1;1;34,47;10;27;4;10;0;1;4;9;2;6;2;7;9;2;1;0;2;6;1;0
14;15;16;2;2;1;Jamaal;1;25,52;24;35;5;9;3;5;2;4;11;12;0;1;1;3;3;0;3;9;4;0
14;15;16;2;2;2;Eddy;1;22,3;9;14;3;5;1;2;2;3;2;2;3;1;4;2;0;0;2;2;2;1
14;15;16;2;2;3;Marcio 5;1;22,21;6;19;2;7;0;3;2;4;2;2;1;2;3;1;0;0;4;3;0;0
14;15;16;2;2;3;Young;1;21,02;8;20;2;7;0;2;2;5;4;4;0;2;2;0;1;0;4;2;1;0
14;15;16;2;2;1;Pedrinho;1;20,16;3;9;1;4;1;1;0;3;0;0;0;0;0;1;0;0;2;1;1;0
14;15;16;2;2;5;Fernando Mineiro;1;18,45;9;22;3;8;1;4;2;4;2;2;4;2;6;2;2;0;4;3;1;0
14;15;16;2;2;5;Atílio;1;16,42;4;8;2;4;0;0;2;4;0;0;0;4;4;1;0;1;3;0;1;0
14;15;16;2;2;4;Diego 2;1;10,26;5;6;1;1;0;0;1;1;3;4;0;0;0;1;1;0;0;3;0;0
14;15;16;2;2;4;Joao;1;5,22;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0
14;15;16;2;2;5;De Bem;1;1,51;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0
14;15;16;2;2;5;Maique;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;15;16;2;2;0;1;1;;78;160;23;55;6;18;17;37;26;32;12;23;35;14;9;1;29;29;12;1
14;16;15;2;1;1;Coelho;1;41,27;9;45;3;17;1;7;2;10;2;4;1;1;2;4;3;0;5;5;3;0
14;16;15;2;1;5;Shilton;1;38,4;7;16;3;7;0;0;3;7;1;2;5;8;13;2;0;0;4;6;2;0
14;16;15;2;1;3;Bruno Irigoyen;1;36,27;13;22;4;7;1;4;3;3;4;4;1;1;2;2;0;0;1;2;0;0
14;16;15;2;1;3;Alex 1;1;32,5;14;43;5;15;2;9;3;6;2;4;4;3;7;1;3;0;4;5;0;1
14;16;15;2;1;2;Siqueira;1;31,01;26;40;9;14;3;5;6;9;5;7;2;1;3;5;4;0;5;5;2;1
14;16;15;2;1;5;Ansaloni;1;17,23;4;9;1;3;0;0;1;3;2;3;0;1;1;0;0;0;4;1;7;1
14;16;15;2;1;1;Cafferata;1;17,16;5;17;2;6;1;3;1;3;0;2;1;2;3;0;0;0;3;4;3;0
14;16;15;2;1;4;Lao Dematrio;1;8,4;2;9;1;4;0;1;1;3;0;0;1;2;3;0;0;0;2;1;1;0
14;16;15;2;1;2;Pitico;1;0,56;0;2;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0
14;16;15;2;1;6;Christian;1;0,15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;16;15;2;1;5;Adyb;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;16;15;2;1;6;Moisas;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;16;15;2;1;0;1;1;;80;203;28;74;8;29;20;45;16;26;18;22;40;14;13;0;28;29;18;3
14;15;16;2;2;2;Eddy;1;38,29;12;29;4;10;2;7;2;3;2;2;1;7;8;1;3;1;4;2;3;0
14;15;16;2;2;1;Jamaal;1;35,44;23;37;5;11;1;3;4;8;12;12;0;1;1;4;1;0;4;13;4;0
14;15;16;2;2;5;Atílio;1;34,39;15;23;6;10;0;0;6;10;3;3;1;2;3;0;0;0;4;3;6;0
14;15;16;2;2;3;Marcio 5;1;27,15;4;21;2;8;0;3;2;5;0;2;1;3;4;0;1;0;3;2;1;0
14;15;16;2;2;3;Young;1;25,15;13;20;3;6;3;4;0;2;4;4;1;3;4;1;1;1;4;2;2;0
14;15;16;2;2;5;Fernando Mineiro;1;22,37;9;11;3;4;1;1;2;3;2;2;2;7;9;0;0;0;4;1;5;0
14;15;16;2;2;5;George 1;1;22,3;5;12;2;5;1;2;1;3;0;0;2;5;7;0;2;1;5;4;2;0
14;15;16;2;2;1;Pedrinho;1;13,15;0;3;0;1;0;1;0;0;0;0;0;0;0;2;0;0;1;1;1;0
14;15;16;2;2;4;Diego 2;1;2,04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
14;15;16;2;2;5;De Bem;1;1,51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
14;15;16;2;2;4;Joao;1;1,17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
14;15;16;2;2;5;Maique;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;15;16;2;2;0;1;1;;81;156;25;55;8;21;17;34;23;25;9;31;40;8;9;3;30;28;26;0
14;17;26;1;1;4;Tyrone;1;30,28;19;24;7;9;2;2;5;7;3;4;1;6;7;4;1;1;2;4;3;1
14;17;26;1;1;1;Elinho;1;30,28;5;12;1;4;1;2;0;2;2;2;2;2;4;6;1;0;3;4;1;0
14;17;26;1;1;3;Shamell;1;28,57;18;33;8;14;0;2;8;12;2;3;1;4;5;2;1;0;2;3;2;0
14;17;26;1;1;3;Filipin;1;28,06;13;26;5;10;1;4;4;6;2;2;1;1;2;2;1;0;3;1;1;0
14;17;26;1;1;5;Paulao Prestes;1;18,4;8;18;4;9;0;0;4;9;0;0;2;4;6;1;0;0;1;2;0;0
14;17;26;1;1;5;Daniel Alemao;1;16,01;4;14;2;6;0;0;2;6;0;2;2;9;11;0;0;1;2;1;7;0
14;17;26;1;1;3;Jimmy;1;15,55;10;16;4;7;2;2;2;5;0;0;1;0;1;1;2;0;3;2;0;0
14;17;26;1;1;5;Gerson;1;14,52;4;6;2;3;0;0;2;3;0;0;2;0;2;1;0;0;3;1;1;1
14;17;26;1;1;4;Thomas Gehrke;1;7;2;10;0;4;0;0;0;4;2;2;2;3;5;1;0;0;2;1;0;0
14;17;26;1;1;6;Bia;1;5,16;4;4;1;1;0;0;1;1;2;2;0;1;1;0;0;0;1;1;0;0
14;17;26;1;1;3;Pedro Henrique;1;4,13;3;9;1;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;17;26;1;1;1;Gustavinho;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;17;26;1;1;0;1;1;;90;172;35;70;7;15;28;55;13;17;15;35;50;18;6;2;22;20;15;2
14;26;17;1;2;3;Audrei;1;34,32;10;27;2;8;1;5;1;3;5;6;1;0;1;3;2;0;3;5;0;0
14;26;17;1;2;2;Taboada;1;34,28;10;29;3;9;2;7;1;2;2;4;0;6;6;4;0;1;2;5;1;0
14;26;17;1;2;5;Renan 2;1;28,21;2;9;1;4;0;1;1;3;0;0;0;2;2;0;1;0;4;1;1;0
14;26;17;1;2;4;Gruber;1;24,42;8;28;3;10;2;8;1;2;0;0;0;2;2;0;1;1;2;3;1;0
14;26;17;1;2;1;Caleb Brown;1;22,52;13;33;5;13;3;7;2;6;0;0;0;4;4;4;3;0;1;3;1;0
14;26;17;1;2;2;Halio;1;22,43;25;35;9;12;3;4;6;8;4;7;1;0;1;1;0;0;0;4;1;0
14;26;17;1;2;4;Rodrigo Silva;1;14,18;4;16;1;7;0;0;1;7;2;2;5;5;10;0;1;0;4;1;1;0
14;26;17;1;2;3;Zanini;1;12,07;8;14;3;5;2;4;1;1;0;0;1;0;1;1;1;1;1;0;1;0
14;26;17;1;2;6;Douglas;1;3,47;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0
14;26;17;1;2;6;Luan;1;0,16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
14;26;17;1;2;0;1;1;;80;191;27;68;13;36;14;32;13;19;9;23;32;13;11;3;20;22;7;0
14;17;16;1;1;4;Tyrone;1;40;9;24;2;8;0;2;2;6;5;6;0;6;6;3;2;2;0;5;2;1
14;17;16;1;1;3;Shamell;1;35,49;24;52;7;17;0;6;7;11;10;12;0;4;4;0;1;0;3;10;3;0
14;17;16;1;1;1;Elinho;1;28,34;8;20;3;8;2;4;1;4;0;0;0;2;2;0;2;0;0;0;2;0
14;17;16;1;1;3;Filipin;1;22,31;7;14;3;6;1;2;2;4;0;0;1;1;2;1;0;0;4;1;2;0
14;17;16;1;1;5;Daniel Alemao;1;21,13;4;10;2;4;0;0;2;4;0;2;0;4;4;0;2;1;4;1;0;0
14;17;16;1;1;5;Paulao Prestes;1;17,55;5;16;1;6;0;0;1;6;3;4;2;3;5;0;1;0;2;3;3;0
14;17;16;1;1;5;Gerson;1;11,21;1;6;0;2;0;0;0;2;1;2;0;2;2;0;1;0;0;1;0;0
14;17;16;1;1;4;Thomas Gehrke;1;8,3;2;2;1;1;0;0;1;1;0;0;0;0;0;0;0;0;2;1;2;0
14;17;16;1;1;3;Jimmy;1;7,39;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;2;0
14;17;16;1;1;1;Lersch;1;4,2;0;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
14;17;16;1;1;6;Bia;1;2,02;0;2;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0
14;17;16;1;1;3;Pedro Henrique;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;17;16;1;1;0;1;1;;60;149;19;54;3;15;16;39;19;26;7;27;34;4;12;3;16;22;17;1
14;16;17;1;2;2;Robby Collum;1;39,3;13;52;5;19;1;12;4;7;2;2;1;4;5;5;3;0;1;5;3;0
14;16;17;1;2;3;Alex 1;1;36,27;6;27;2;10;2;5;0;5;0;2;1;3;4;0;1;0;3;1;2;0
14;16;17;1;2;5;Shilton;1;32,1;14;18;5;6;0;1;5;5;4;5;0;8;8;1;0;0;6;7;3;0
14;16;17;1;2;3;Bruno Irigoyen;1;28,46;11;14;4;5;3;4;1;1;0;0;1;0;1;0;0;0;2;0;2;0
14;16;17;1;2;2;Siqueira;1;27,28;13;22;6;10;0;1;6;9;1;1;0;3;3;4;3;0;3;2;6;0
14;16;17;1;2;4;Lao Dematrio;1;15,31;4;7;2;3;0;1;2;2;0;0;0;3;3;2;0;0;2;1;0;1
14;16;17;1;2;5;Ansaloni;1;13,3;0;4;0;2;0;0;0;2;0;0;0;1;1;1;0;0;3;0;0;0
14;16;17;1;2;5;Adyb;1;3,58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
14;16;17;1;2;6;Christian;1;2,37;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0
14;16;17;1;2;6;Moisas;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;16;17;1;2;0;1;1;;61;144;24;55;6;24;18;31;7;10;5;26;31;13;8;0;22;16;17;1
14;17;20;1;1;3;Shamell;1;38,16;23;45;7;16;3;7;4;9;6;6;1;4;5;3;3;0;1;5;7;0
14;17;20;1;1;5;Gerson;1;28,13;9;13;4;6;0;0;4;6;1;1;4;3;7;0;0;2;1;2;2;2
14;17;20;1;1;1;Elinho;1;28,04;10;23;3;9;2;3;1;6;2;2;0;3;3;6;5;0;4;1;2;0
14;17;20;1;1;5;Paulao Prestes;1;26,21;8;14;4;6;0;0;4;6;0;2;3;7;10;2;2;0;3;4;0;0
14;17;20;1;1;3;Filipin;1;24,25;17;32;4;10;3;6;1;4;6;6;0;3;3;1;0;0;3;6;1;0
14;17;20;1;1;4;Tyrone;1;20,04;4;14;1;5;1;3;0;2;1;1;1;4;5;1;0;0;4;2;2;0
