,Tempo,Ponto,diferenca_placar_casa,Quarto,Indicador,Nome
337,0:26,54 - 66,12,3,Bone 25' 3PT Jump Shot (5 PTS) (Gordon 5 AST),NYK
338,0:05,,,3,MISS Payton 11' Running Pull-Up Jump Shot,ORL
339,0:02,,,3,Birch REBOUND (Off:1 Def:6),NYK
340,0:00,,,3,MISS Gordon 58' 3PT Jump Shot,NYK
341,0:00,,,3,Magic Rebound,NYK
342,0:00,54 - 66,12,3,,NYK
343,12:00,54 - 66,12,4,,NYK
344,11:48,54 - 68,14,4,Toppin 1' Alley Oop Dunk (2 PTS) (Quickley 1 AST),ORL
345,11:35,,,4,Rivers S.FOUL (P3.T1) (S.Wright),ORL
346,11:35,55 - 68,13,4,Ross Free Throw 1 of 2 (4 PTS),NYK
347,11:35,56 - 68,12,4,Ross Free Throw 2 of 2 (5 PTS),NYK
348,11:16,,,4,Vucevic BLOCK (2 BLK)MISS Rivers 2' Driving Layup,ORL
349,11:14,,,4,Gordon REBOUND (Off:4 Def:7),NYK
350,11:09,59 - 68,9,4,Ross 26' 3PT Jump Shot (8 PTS) (Gordon 6 AST),NYK
351,11:00,,,4,KNICKS Timeout: Regular (Full 4 Short 0),ORL
352,11:00,,,4,SUB: Clark FOR Bone,NYK
353,10:44,,,4,Gordon S.FOUL (P1.T1) (B.Barnaky),NYK
354,10:44,59 - 69,10,4,Rivers Free Throw 1 of 2 (2 PTS),ORL
355,10:44,,,4,MISS Rivers Free Throw 2 of 2,ORL
356,10:42,,,4,Vucevic REBOUND (Off:2 Def:10),NYK
357,10:23,61 - 69,8,4,Vucevic 1' Layup (19 PTS) (Gordon 7 AST),NYK
358,10:11,,,4,Ennis III BLOCK (2 BLK)MISS Quickley 5' Driving Floating Jump Shot,ORL
359,10:09,,,4,Ross REBOUND (Off:0 Def:3),NYK
360,10:04,,,4,Toppin S.FOUL (P1.T2) (S.Wright),ORL
361,10:04,,,4,SUB: Randle FOR Rivers,ORL
362,10:04,,,4,SUB: Bullock FOR Toppin,ORL
363,10:04,62 - 69,7,4,Ross Free Throw 1 of 2 (9 PTS),NYK
364,10:04,63 - 69,6,4,Ross Free Throw 2 of 2 (10 PTS),NYK
365,9:41,,,4,MISS Quickley 14' Jump Shot,ORL
366,9:39,,,4,Clark REBOUND (Off:0 Def:2),NYK
367,9:20,,,4,MISS Ross 12' Jump ShotNoel BLOCK (2 BLK),ORL
368,9:18,,,4,Noel REBOUND (Off:1 Def:3),ORL
369,9:10,63 - 71,8,4,Bullock 2' Driving Layup (10 PTS) (Quickley 2 AST),ORL
370,8:54,66 - 71,5,4,Vucevic 26' 3PT Jump Shot (22 PTS) (Gordon 8 AST),NYK
371,8:25,,,4,MISS Noel 25' 3PT Jump Shot,ORL
372,8:24,,,4,KNICKS Rebound,ORL
373,8:24,,,4,KNICKS Turnover: Shot Clock (T#8),ORL
374,8:24,,,4,SUB: Robinson FOR Noel,ORL
375,8:24,,,4,SUB: Barrett FOR Knox II,ORL
