,Unnamed: 0,Ponto,diferenca_placar_casa,Quarto,Indicador,Nome,Tempo
99,99,27 - 9,-18,1,Zubac  Tip Dunk Shot (2 PTS),LAC,592
100,100,29 - 9,-20,1,Doncic 2' Driving Layup (9 PTS),DAL,602
101,101,29 - 11,-18,1,George 19' Pullup Jump Shot (9 PTS),LAC,617
102,102,31 - 11,-20,1,Doncic 3' Driving Layup (11 PTS),DAL,637
103,103,,,1,MISS Jackson 25' 3PT Jump Shot,LAC,660
104,104,,,1,Richardson REBOUND (Off:1 Def:1),DAL,663
105,105,34 - 11,-23,1,Richardson 25' 3PT Jump Shot (13 PTS) (Kleber 1 AST),DAL,681
106,106,,,1,MISS George 27' 3PT Jump Shot,LAC,691
107,107,,,1,Burke REBOUND (Off:0 Def:1),DAL,694
108,108,36 - 11,-25,1,Doncic 11' Jump Shot (13 PTS),DAL,714
109,109,36 - 13,-23,1,Zubac 3' Running Dunk (4 PTS) (Williams 1 AST),LAC,719
110,110,,,1,Burke Traveling Turnover (P1.T2),DAL,720
111,111,36 - 13,-23,1,,DAL,720
112,112,36 - 13,-23,2,,DAL,720
113,113,,,2,MISS Hardaway Jr. 15' Jump Shot,DAL,734
114,114,,,2,Cauley-Stein REBOUND (Off:3 Def:1),DAL,739
115,115,38 - 13,-25,2,Hardaway Jr. 12' Floating Jump Shot (2 PTS),DAL,747
116,116,,,2,Jackson Out of Bounds - Bad Pass Turnover Turnover (P1.T4),LAC,767
117,117,41 - 13,-28,2,Johnson 26' 3PT Jump Shot (3 PTS) (Brunson 1 AST),DAL,791
118,118,,,2,MISS Williams 21' Pullup Jump Shot,LAC,807
119,119,,,2,Johnson REBOUND (Off:0 Def:1),DAL,810
120,120,43 - 13,-30,2,Brunson 13' Running Pull-Up Jump Shot (2 PTS) (Johnson 1 AST),DAL,815
121,121,,,2,CLIPPERS Timeout: Regular (Full 2 Short 0),LAC,815
122,122,,,2,MISS Patterson 26' 3PT Jump Shot,LAC,833
123,123,,,2,Brunson REBOUND (Off:0 Def:1),DAL,836
124,124,45 - 13,-32,2,Cauley-Stein 2' Alley Oop Dunk (2 PTS) (Brunson 2 AST),DAL,844
125,125,,,2,CLIPPERS Turnover: Shot Clock (T#5),LAC,870
126,126,,,2,SUB: Kennard FOR Jackson,LAC,870
127,127,,,2,MISS Hardaway Jr. 5' Floating Jump Shot,DAL,888
128,128,,,2,Kennard REBOUND (Off:0 Def:2),LAC,889
129,129,45 - 16,-29,2,Kennard 26' 3PT Jump Shot (3 PTS),LAC,895
130,130,48 - 16,-32,2,Hardaway Jr. 25' 3PT Jump Shot (5 PTS) (Johnson 2 AST),DAL,908
131,131,,,2,MISS Mann 24' 3PT Jump Shot,LAC,925
132,132,,,2,Cauley-Stein REBOUND (Off:3 Def:2),DAL,927
133,133,50 - 16,-34,2,Cauley-Stein 3' Running Dunk (4 PTS) (Finney-Smith 1 AST),DAL,931
134,134,,,2,Zubac S.FOUL (P1.T1) (N.Green),LAC,931
135,135,,,2,SUB: Beverley FOR Williams,LAC,931
136,136,51 - 16,-35,2,Cauley-Stein Free Throw 1 of 1 (5 PTS),DAL,931
137,137,,,2,MISS Kennard 5' Jump Shot,LAC,949
138,138,,,2,Hardaway Jr. REBOUND (Off:0 Def:3),DAL,951
139,139,54 - 16,-38,2,Finney-Smith 26' 3PT Running Jump Shot (6 PTS) (Hardaway Jr. 1 AST),DAL,954
140,140,,,2,MISS Beverley 27' 3PT Jump Shot,LAC,973
141,141,,,2,Johnson REBOUND (Off:0 Def:2),DAL,975
142,142,56 - 16,-40,2,Brunson 2' Driving Layup (4 PTS),DAL,985
143,143,,,2,Johnson S.FOUL (P1.T1) (N.Green),DAL,998
144,144,56 - 17,-39,2,Zubac Free Throw 1 of 2 (5 PTS),LAC,998
145,145,,,2,SUB: Powell FOR Cauley-Stein,DAL,998
146,146,56 - 18,-38,2,Zubac Free Throw 2 of 2 (6 PTS),LAC,998
147,147,,,2,Mann S.FOUL (P1.T2) (D.Collins),LAC,1009
148,148,57 - 18,-39,2,Finney-Smith Free Throw 1 of 2 (7 PTS),DAL,1009
149,149,,,2,SUB: Ibaka FOR Zubac,LAC,1009
150,150,58 - 18,-40,2,Finney-Smith Free Throw 2 of 2 (8 PTS),DAL,1009
151,151,,,2,Hardaway Jr. STEAL (1 STL)Beverley Bad Pass Turnover (P1.T6),LAC,1026
152,152,60 - 18,-42,2,Hardaway Jr. 1' Running Dunk (7 PTS),DAL,1031
153,153,,,2,MISS Ibaka 28' 3PT Jump Shot,LAC,1054
154,154,,,2,Brunson REBOUND (Off:0 Def:2),DAL,1056
155,155,62 - 18,-44,2,Brunson 13' Running Pull-Up Jump Shot (6 PTS),DAL,1060
156,156,,,2,CLIPPERS Timeout: Regular (Full 3 Short 0),LAC,1061
157,157,,,2,SUB: George FOR Mann,LAC,1061
158,158,,,2,SUB: Batum FOR Patterson,LAC,1061
159,159,,,2,SUB: Richardson FOR Finney-Smith,DAL,1061
160,160,,,2,Johnson P.FOUL (P2.T2) (D.Collins),DAL,1073
161,161,,,2,Hardaway Jr. STEAL (2 STL)George Bad Pass Turnover (P3.T7),LAC,1078
162,162,,,2,MISS Brunson 24' 3PT Jump Shot,DAL,1088
163,163,,,2,George REBOUND (Off:0 Def:1),LAC,1090
164,164,,,2,MISS Beverley 27' 3PT Jump Shot,LAC,1106
165,165,,,2,Powell REBOUND (Off:1 Def:1),DAL,1111
166,166,,,2,MISS Johnson 25' 3PT Jump Shot,DAL,1119
167,167,,,2,Batum REBOUND (Off:0 Def:1),LAC,1121
168,168,62 - 20,-42,2,George 12' Turnaround Jump Shot (11 PTS),LAC,1139
169,169,,,2,Beverley P.FOUL (P2.T3) (D.Collins),LAC,1156
170,170,,,2,MISS Johnson 2' Driving Layup,DAL,1169
171,171,,,2,Ibaka REBOUND (Off:0 Def:6),LAC,1171
172,172,,,2,MISS Kennard 28' 3PT Running Pull-Up Jump Shot,LAC,1174
173,173,,,2,Powell REBOUND (Off:1 Def:2),DAL,1176
174,174,,,2,MISS Hardaway Jr.  3PT Jump Shot,DAL,1186
175,175,,,2,Ibaka REBOUND (Off:0 Def:7),LAC,1188
176,176,,,2,MISS George 26' 3PT Jump Shot,LAC,1204
177,177,,,2,Johnson REBOUND (Off:0 Def:3),DAL,1206
178,178,65 - 20,-45,2,Brunson 25' 3PT Running Pull-Up Jump Shot (9 PTS) (Hardaway Jr. 2 AST),DAL,1212
179,179,,,2,Hardaway Jr. S.FOUL (P1.T3) (D.Collins),DAL,1224
180,180,,,2,MISS Ibaka Free Throw 1 of 2,LAC,1224
181,181,,,2,CLIPPERS Rebound,LAC,1224
182,182,,,2,SUB: Doncic FOR Hardaway Jr.,DAL,1224
183,183,,,2,SUB: Kleber FOR Brunson,DAL,1224
184,184,,,2,SUB: Burke FOR Johnson,DAL,1224
185,185,65 - 21,-44,2,Ibaka Free Throw 2 of 2 (1 PTS),LAC,1224
186,186,67 - 21,-46,2,Doncic 19' Turnaround Fadeaway (15 PTS),DAL,1249
187,187,67 - 23,-44,2,Ibaka 16' Jump Shot (3 PTS) (George 1 AST),LAC,1259
188,188,69 - 23,-46,2,Doncic 15' Pullup Jump Shot (17 PTS),DAL,1282
189,189,,,2,Batum S.FOUL (P2.T4) (D.Collins),LAC,1282
190,190,70 - 23,-47,2,Doncic Free Throw 1 of 1 (18 PTS),DAL,1282
191,191,,,2,Richardson P.FOUL (P1.T4) (D.Collins),DAL,1292
192,192,,,2,MISS Ibaka 28' 3PT Jump Shot,LAC,1299
193,193,,,2,Doncic REBOUND (Off:0 Def:7),DAL,1300
194,194,,,2,MISS Doncic 27' 3PT Jump Shot,DAL,1323
195,195,,,2,Beverley REBOUND (Off:0 Def:2),LAC,1325
196,196,70 - 25,-45,2,Ibaka 5' Hook Shot (5 PTS) (George 2 AST),LAC,1333
197,197,,,2,Ibaka S.FOUL (P2.PN) (M.Davis),LAC,1353
198,198,71 - 25,-46,2,Powell Free Throw 1 of 2 (3 PTS),DAL,1353
199,199,72 - 25,-47,2,Powell Free Throw 2 of 2 (4 PTS),DAL,1353
200,200,,,2,Richardson STEAL (1 STL)George Bad Pass Turnover (P4.T8),LAC,1362
201,201,74 - 25,-49,2,Richardson 1' Running Finger Roll Layup (15 PTS),DAL,1365
202,202,,,2,Richardson P.FOUL (P2.PN) (N.Green),DAL,1385
203,203,74 - 26,-48,2,George Free Throw 1 of 2 (12 PTS),LAC,1385
204,204,74 - 27,-47,2,George Free Throw 2 of 2 (13 PTS),LAC,1385
205,205,,,2,MISS Doncic 12' Turnaround Jump Shot,DAL,1409
206,206,,,2,Richardson REBOUND (Off:2 Def:1),DAL,1415
207,207,77 - 27,-50,2,Burke 24' 3PT Jump Shot (5 PTS) (Richardson 2 AST),DAL,1417
208,208,,,2,MISS George 27' 3PT Jump Shot,LAC,1438
209,209,,,2,Kleber REBOUND (Off:0 Def:4),DAL,1438
210,210,77 - 27,-50,2,,DAL,1440
211,211,77 - 27,-50,3,,DAL,1440
212,212,,,3,Kennard P.FOUL (P1.T1) (N.Green),LAC,1457
213,213,,,3,MISS Doncic 29' 3PT Jump Shot,DAL,1468
214,214,,,3,Batum REBOUND (Off:0 Def:2),LAC,1470
215,215,77 - 29,-48,3,Ibaka 5' Hook Shot (7 PTS),LAC,1478
216,216,,,3,MISS Finney-Smith 24' 3PT Jump Shot,DAL,1501
217,217,,,3,Ibaka REBOUND (Off:0 Def:8),LAC,1501
218,218,,,3,Richardson S.FOUL (P3.T1) (M.Davis),DAL,1515
219,219,77 - 30,-47,3,Beverley Free Throw 1 of 2 (1 PTS),LAC,1515
220,220,77 - 31,-46,3,Beverley Free Throw 2 of 2 (2 PTS),LAC,1515
221,221,,,3,MISS Richardson 27' 3PT Jump Shot,DAL,1528
222,222,,,3,Batum REBOUND (Off:0 Def:3),LAC,1530
223,223,,,3,Powell S.FOUL (P2.T2) (N.Green),DAL,1541
224,224,77 - 32,-45,3,George Free Throw 1 of 2 (14 PTS),LAC,1541
225,225,77 - 33,-44,3,George Free Throw 2 of 2 (15 PTS),LAC,1541
226,226,,,3,MISS Hardaway Jr. 26' 3PT Jump Shot,DAL,1556
227,227,,,3,Batum REBOUND (Off:0 Def:4),LAC,1563
228,228,77 - 35,-42,3,Ibaka 4' Turnaround Hook Shot (9 PTS) (George 3 AST),LAC,1568
229,229,,,3,MISS Doncic 3' Driving Floating Jump Shot,DAL,1581
230,230,,,3,George REBOUND (Off:0 Def:2),LAC,1583
231,231,77 - 37,-40,3,Batum 1' Cutting Layup Shot (2 PTS) (George 4 AST),LAC,1588
232,232,,,3,Mavericks Timeout: Regular (Reg.2 Short 0),DAL,1588
233,233,80 - 37,-43,3,Richardson 25' 3PT Jump Shot (18 PTS) (Doncic 5 AST),DAL,1606
234,234,,,3,MISS George 22' Pullup Jump Shot,LAC,1621
235,235,,,3,Ibaka REBOUND (Off:1 Def:8),LAC,1626
236,236,80 - 39,-41,3,Ibaka 1' Putback Layup (11 PTS),LAC,1627
237,237,,,3,Kennard S.FOUL (P2.T2) (M.Davis),LAC,1640
238,238,81 - 39,-42,3,Doncic Free Throw 1 of 2 (19 PTS),DAL,1640
239,239,,,3,MISS Doncic Free Throw 2 of 2,DAL,1640
240,240,,,3,Batum REBOUND (Off:0 Def:5),LAC,1643
241,241,,,3,MISS Kennard 26' 3PT Jump Shot,LAC,1655
242,242,,,3,Doncic REBOUND (Off:0 Def:8),DAL,1657
243,243,83 - 39,-44,3,Hardaway Jr. 2' Running Layup (9 PTS) (Doncic 6 AST),DAL,1659
244,244,,,3,MISS Batum 20' Fadeaway Jumper,LAC,1674
245,245,,,3,Powell REBOUND (Off:1 Def:3),DAL,1677
246,246,,,3,Doncic Out of Bounds - Bad Pass Turnover Turnover (P1.T3),DAL,1687
247,247,,,3,MISS Ibaka 25' 3PT Jump Shot,LAC,1705
248,248,83 - 41,-42,3,Batum  Tip Layup Shot (4 PTS),LAC,1711
249,249,,,3,Batum REBOUND (Off:1 Def:5),LAC,1711
250,250,,,3,MISS Finney-Smith 27' 3PT Jump ShotIbaka BLOCK (1 BLK),LAC,1738
251,251,,,3,Mavericks Rebound,DAL,1738
252,252,,,3,Mavericks Turnover: Shot Clock (T#4),DAL,1738
253,253,,,3,Finney-Smith P.FOUL (P1.T3) (D.Collins),DAL,1748
254,254,,,3,SUB: Burke FOR Powell,DAL,1748
255,255,,,3,SUB: Kleber FOR Hardaway Jr.,DAL,1748
256,256,83 - 43,-40,3,Kennard 11' Jump Shot (5 PTS) (Ibaka 1 AST),LAC,1756
257,257,85 - 43,-42,3,Doncic 2' Driving Layup (21 PTS),DAL,1764
258,258,,,3,Beverley S.FOUL (P3.T3) (D.Collins),LAC,1764
259,259,86 - 43,-43,3,Doncic Free Throw 1 of 1 (22 PTS),DAL,1764
260,260,86 - 45,-41,3,Ibaka 2' Driving Layup (13 PTS),LAC,1777
261,261,,,3,Beverley S.FOUL (P4.T4) (M.Davis),LAC,1790
262,262,87 - 45,-42,3,Kleber Free Throw 1 of 2 (4 PTS),DAL,1790
263,263,,,3,SUB: Mann FOR Ibaka,LAC,1790
264,264,,,3,SUB: Jackson FOR George,LAC,1790
265,265,,,3,SUB: Zubac FOR Beverley,LAC,1790
266,266,,,3,SUB: Cauley-Stein FOR Finney-Smith,DAL,1790
267,267,88 - 45,-43,3,Kleber Free Throw 2 of 2 (5 PTS),DAL,1790
268,268,88 - 47,-41,3,Mann 7' Driving Floating Jump Shot (2 PTS) (Batum 1 AST),LAC,1805
269,269,,,3,Mann P.FOUL (P2.PN) (M.Davis),LAC,1821
270,270,89 - 47,-42,3,Doncic Free Throw 1 of 2 (23 PTS),DAL,1821
271,271,,,3,SUB: Coffey FOR Batum,LAC,1821
272,272,90 - 47,-43,3,Doncic Free Throw 2 of 2 (24 PTS),DAL,1821
273,273,,,3,CLIPPERS Turnover: Shot Clock (T#9),LAC,1845
274,274,,,3,Doncic Out of Bounds - Bad Pass Turnover Turnover (P2.T5),DAL,1856
275,275,,,3,MISS Mann 18' Pullup Jump Shot,LAC,1878
276,276,,,3,Doncic REBOUND (Off:0 Def:9),DAL,1880
277,277,,,3,MISS Richardson 27' 3PT Jump Shot,DAL,1892
278,278,,,3,Jackson REBOUND (Off:0 Def:1),LAC,1894
279,279,90 - 50,-40,3,Jackson 25' 3PT Jump Shot (3 PTS),LAC,1911
280,280,93 - 50,-43,3,Richardson 30' 3PT Jump Shot (21 PTS),DAL,1934
281,281,,,3,Burke Violation:Kicked Ball (D.Collins),DAL,1943
282,282,,,3,SUB: Hardaway Jr. FOR Richardson,DAL,1943
283,283,,,3,MISS Coffey 27' 3PT Jump Shot,LAC,1960
284,284,,,3,Hardaway Jr. REBOUND (Off:0 Def:4),DAL,1962
285,285,96 - 50,-46,3,Hardaway Jr. 26' 3PT Jump Shot (12 PTS) (Doncic 7 AST),DAL,1969
286,286,,,3,CLIPPERS Timeout: Regular (Full 4 Short 0),LAC,1969
287,287,,,3,SUB: Kabengele FOR Kennard,LAC,1969
288,288,,,3,Hardaway Jr. S.FOUL (P2.T4) (D.Collins),DAL,1985
289,289,96 - 51,-45,3,Zubac Free Throw 1 of 2 (7 PTS),LAC,1985
290,290,96 - 52,-44,3,Zubac Free Throw 2 of 2 (8 PTS),LAC,1985
291,291,99 - 52,-47,3,Hardaway Jr. 25' 3PT Jump Shot (15 PTS) (Doncic 8 AST),DAL,1995
292,292,,,3,MISS Mann 27' 3PT Jump Shot,LAC,2020
293,293,,,3,Kleber REBOUND (Off:0 Def:5),DAL,2023
294,294,,,3,MISS Doncic 28' 3PT Step Back Jump Shot,DAL,2036
295,295,,,3,Cauley-Stein REBOUND (Off:4 Def:2),DAL,2040
296,296,102 - 52,-50,3,Hardaway Jr. 26' 3PT Jump Shot (18 PTS) (Cauley-Stein 2 AST),DAL,2043
297,297,,,3,MISS Kabengele 24' 3PT Jump Shot,LAC,2057
298,298,,,3,CLIPPERS Rebound,LAC,2059
299,299,,,3,SUB: Brunson FOR Doncic,DAL,2059
300,300,,,3,MISS Coffey 16' Pullup Jump Shot,LAC,2067
301,301,,,3,Coffey REBOUND (Off:1 Def:0),LAC,2071
302,302,102 - 54,-48,3,Zubac 2' Layup (10 PTS) (Jackson 1 AST),LAC,2078
303,303,,,3,MISS Hardaway Jr. 27' 3PT Jump Shot,DAL,2096
304,304,,,3,Mann REBOUND (Off:0 Def:1),LAC,2099
305,305,,,3,MISS Jackson 27' 3PT Running Pull-Up Jump Shot,LAC,2102
306,306,,,3,Burke REBOUND (Off:0 Def:2),DAL,2105
307,307,,,3,MISS Brunson 26' 3PT Jump Shot,DAL,2113
308,308,,,3,Zubac REBOUND (Off:1 Def:1),LAC,2116
309,309,,,3,Kleber S.FOUL (P2.PN) (M.Davis),DAL,2120
310,310,,,3,MISS Coffey Free Throw 1 of 2,LAC,2120
311,311,,,3,CLIPPERS Rebound,LAC,2120
312,312,102 - 55,-47,3,Coffey Free Throw 2 of 2 (1 PTS),LAC,2120
313,313,,,3,Kabengele P.FOUL (P1.PN) (M.Davis),LAC,2131
314,314,103 - 55,-48,3,Brunson Free Throw 1 of 2 (10 PTS),DAL,2131
315,315,104 - 55,-49,3,Brunson Free Throw 2 of 2 (11 PTS),DAL,2131
316,316,104 - 57,-47,3,Jackson 4' Floating Jump Shot (5 PTS),LAC,2150
317,317,,,3,MISS Cauley-Stein 27' 3PT Jump Shot,DAL,2159
318,318,,,3,Mavericks Rebound,DAL,2159
319,319,104 - 57,-47,3,,DAL,2160
320,320,104 - 57,-47,4,,DAL,2160
321,321,,,4,MISS Mann 12' Pullup Jump Shot,LAC,2173
322,322,,,4,Hardaway Jr. REBOUND (Off:0 Def:5),DAL,2175
323,323,,,4,Coffey S.FOUL (P1.T1) (M.Davis),LAC,2186
324,324,105 - 57,-48,4,Cauley-Stein Free Throw 1 of 2 (6 PTS),DAL,2186
325,325,,,4,SUB: Kennard FOR Jackson,LAC,2186
326,326,,,4,SUB: Iwundu FOR Burke,DAL,2186
327,327,,,4,SUB: Green FOR Hardaway Jr.,DAL,2186
328,328,106 - 57,-49,4,Cauley-Stein Free Throw 2 of 2 (7 PTS),DAL,2186
329,329,,,4,Kennard Out of Bounds - Bad Pass Turnover Turnover (P1.T10),LAC,2209
330,330,108 - 57,-51,4,Cauley-Stein 16' Pullup Jump Shot (9 PTS) (Green 1 AST),DAL,2222
331,331,108 - 59,-49,4,Oturu 1' Dunk (2 PTS) (Coffey 1 AST),LAC,2239
332,332,,,4,MISS Iwundu 26' 3PT Jump Shot,DAL,2253
333,333,,,4,Kabengele REBOUND (Off:0 Def:1),LAC,2256
334,334,108 - 61,-47,4,Kennard 16' Step Back Jump Shot (7 PTS),LAC,2264
335,335,,,4,Mavericks Timeout: Regular (Reg.3 Short 0),DAL,2264
336,336,,,4,SUB: Marjanovic FOR Cauley-Stein,DAL,2264
337,337,,,4,Mavericks Turnover: Shot Clock (T#6),DAL,2289
338,338,,,4,MISS Kennard 2' Driving Reverse Layup,LAC,2311
339,339,,,4,Green REBOUND (Off:0 Def:1),DAL,2313
340,340,,,4,Green Lost Ball Turnover (P1.T7)Kennard STEAL (1 STL),LAC,2316
341,341,108 - 63,-45,4,Mann 1' Driving Reverse Layup (4 PTS) (Kennard 1 AST),LAC,2319
342,342,110 - 63,-47,4,Iwundu 2' Cutting Dunk Shot (2 PTS) (Brunson 3 AST),DAL,2330
343,343,,,4,Johnson STEAL (1 STL)Kennard Bad Pass Turnover (P2.T11),LAC,2350
344,344,,,4,Kabengele S.FOUL (P2.T2) (D.Collins),LAC,2354
345,345,111 - 63,-48,4,Green Free Throw 1 of 2 (1 PTS),DAL,2354
346,346,,,4,SUB: Terry FOR Brunson,DAL,2354
347,347,112 - 63,-49,4,Green Free Throw 2 of 2 (2 PTS),DAL,2354
348,348,,,4,MISS Kabengele 27' 3PT Jump Shot,LAC,2368
349,349,,,4,Iwundu REBOUND (Off:0 Def:1),DAL,2372
350,350,,,4,MISS Johnson 5' Driving Floating Jump Shot,DAL,2383
351,351,,,4,Marjanovic REBOUND (Off:1 Def:0),DAL,2386
352,352,,,4,Oturu S.FOUL (P1.T3) (M.Davis),LAC,2386
353,353,,,4,MISS Marjanovic Free Throw 1 of 2,DAL,2386
354,354,,,4,Mavericks Rebound,DAL,2386
